interview__key;interview__id;date_debut;I1;I1a;I2;I3;I4;JNAME;JMATRICULE;J0__1;J0__2;J0__3;J0__4;J0__5;J0__6;J0__7;J0__8;J0__9;J0__10;J0__11;J0__12;J0__13;J0__14;J0__15;J0__16;J0__17;J0__18;J0__19;J0__20;J0__21;J0__22;J0__23;J0__24;date_fin;J15;J1__id;J1a;J1b;J1c;groupe;J2;J9;J10;J11;J12;J13;J14;J14a;j2a__id;J3;J4;J5;J6;J7;J8
77-50-42-44;7f9f4a538d1347cd9cd5e6d2c901890a;2025-03-24T12:55:53;1,000;;03;06;DSDS;NON RENSEIGNE;NON RENSEIGNE;1,000;1,000;1,000;0,000;0,000;1,000;1,000;1,000;1,000;1,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;3,00;;;;2,000;2,000;;;#NUL!;;#NUL!;#NUL!;;0,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
77-50-42-44;7f9f4a538d1347cd9cd5e6d2c901890a;2025-03-24T12:55:53;1,000;;03;06;DSDS;NON RENSEIGNE;NON RENSEIGNE;1,000;1,000;1,000;0,000;0,000;1,000;1,000;1,000;1,000;1,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;3,00;;;;2,000;2,000;;;#NUL!;;#NUL!;#NUL!;;1,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;0,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;1,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;2,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;3,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;4,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;5,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;6,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;7,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;8,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;9,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;10,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;11,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;12,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;13,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;14,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;15,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;16,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;17,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;18,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;19,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;20,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;21,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;22,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;23,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;24,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;25,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;26,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;27,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;28,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
47-53-75-56;3ee9de2c3f454277b783cb5d2d9f92bf;2025-04-09T10:20:01;1,000;;NON RENSEIGNE;NON RENSEIGNE;DARGRH;##N/A##;##N/A##;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;##N/A##;##N/A##;2,00;;;;2,000;30,000;;;#NUL!;;#NUL!;#NUL!;;29,000;##N/A##;##N/A##;#NUL!;##N/A##;#NUL!;#NUL!
